test_mAP,task_trained,task_evaluating,data_cnt
0.409011386699229,1,1,37041
0.4671811225985615,1,2,37041
0.3665245293494773,1,3,37041
0.35522668383614736,1,4,37041
0.18258574841680764,1,5,37041
0.4145164838825017,2,1,62474
0.48980923023820555,2,2,62474
0.4184339579296202,2,3,62474
0.39207795263192646,2,4,62474
0.23896999384230241,2,5,62474
0.4003572561254245,3,1,76070
0.47551607790687966,3,2,76070
0.4168712996862811,3,3,76070
0.38978109067119787,3,4,76070
0.2192569598089085,3,5,76070
